Variant,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,peak_power_mean,peak_power_std,cycle_cost_mean,cycle_cost_std,self_consumption_mean,self_consumption_std,energy_cost_mean,energy_cost_std,violations_mean,violations_std,inference_time_ms_mean,inference_time_ms_std,parameters_M_mean,parameters_M_std,training_time_min_mean,training_time_min_std,lang_gap_mean,lang_gap_std,vision_gap_mean,vision_gap_std,zero_vision_gap_mean,zero_vision_gap_std
Modality-NoLanguage-Resnet,0.8626841505368551,0.0001368327712241295,0.7207680543263754,0.0009663230755183772,0.9288079142570496,7.368308250752262e-05,0.43593674898147583,0.002194002450590918,1.739559292793274,0.011418815771736444,0.8374000191688538,0.0,0.08765567924976349,0.00027065187125475916,0.0022261209475497403,1.7651492343705025e-05,0.8017531973886586,0.001489185838564372,14.107298,0.0,20.51811950604121,4.425344694925573,,,0.0,0.0,0.0,0.0
Modality-NoLanguage-Simclr,0.862695554892222,9.845749785972123e-05,0.7203203837076823,0.0017848980438222835,0.9288140535354614,5.300552285543878e-05,0.4342961609363556,0.006141526579958822,1.7336525917053223,0.022333544736099498,0.8374000191688538,0.0,0.08779567425251007,0.0005293418331960207,0.0022347691313674054,3.271054456464442e-05,0.7627550037058269,0.004310116323325096,14.780834,0.0,27.300013245476617,4.137263231058649,,,0.0,0.0,0.0,0.0
Modality-NoLanguage-Swin,0.862947404384613,0.0003791658064225205,0.7172126770019531,0.005113420525746522,0.9289496143658956,0.0002040856886309323,0.4272681574026744,0.010157618726439537,1.6919955809911091,0.06782587660360567,0.8374000191688538,0.0,0.08878303108612697,0.0016076063813073285,0.0022991704754531384,0.00010605124101822719,1.2262793662383158,0.003650221390454922,19.113042,0.0,21.296020465426974,4.62467752822264,,,0.0,0.0,0.0,0.0
Modality-NoLanguage-Tinycnn,0.8630374073982239,0.00042551896170788266,0.7200780908266703,0.005210730140263342,0.928998072942098,0.00022901462212762441,0.4323352674643199,0.01677181824282046,1.7277954419453938,0.06495048627492056,0.8374000191688538,0.0,0.08793451037804285,0.0015394454364514652,0.00224305324566861,9.589959841355751e-05,0.2664444720012226,0.004392249466108282,4.019394,0.0,8.715026932292515,1.1359273529425369,,,0.0,0.0,0.0,0.0
Modality-NoVision-Convnext,0.38428834080696106,0.0014693209486691186,0.4868366817633311,0.001457068037935664,0.6199091871579488,0.0011844523450493286,0.12880302717288336,0.013147942040818662,0.49241451422373456,0.04875273072153156,0.066600002348423,0.08431441420985826,0.042569463383726545,0.004713475147599653,0.0,0.0,0.189798353110093,0.005236413056782908,3.3290260000000003,0.0,8.16812603076299,2.986384689698531,-0.9278853833675385,0.018404212061937077,,,,
Modality-NoVision-Mobilenet,0.3843277593453725,0.0012559565997455314,0.48674649000167847,0.0017804449572411762,0.6199411948521932,0.0010134137189069983,0.12837376445531845,0.01983684080112537,0.4737979769706726,0.087372692482729,0.08053333560625713,0.07004465497152977,0.03973509358095665,0.009861262576203046,0.0,0.0,0.19081042097896964,0.00961503111593356,3.3290260000000003,0.0,5.14767685201433,0.30788269304907784,-0.9288863042990366,0.019352695817732652,,,,
Modality-NoVision-Resnet,0.38331594069798786,0.0005784495092172723,0.4856508473555247,0.00043730845999221437,0.6191250085830688,0.00046711650155995254,0.11826931933561961,0.001490493874432497,0.4519523084163666,0.010026210189916777,0.08519999931255977,0.0426187731196941,0.03837789377203832,0.001087488252566631,0.0,0.0,0.18600503907710575,0.00670671580548573,3.3290260000000003,0.0,7.473948750231002,1.932087425693843,-0.9393807848294576,0.005611561195063263,,,,
Modality-NoVision-Simclr,0.38369642694791156,0.0002596053606067624,0.4860716660817464,0.0003669583292163522,0.6194323301315308,0.00020951414172631254,0.11867356548706691,0.005362026716060589,0.4518195390701294,0.018271717460650042,0.12053333719571431,0.07078314535648075,0.036823059303817955,0.004109853269027926,0.0,0.0,0.18854241181904544,0.0045853784722137,3.3290260000000003,0.0,7.919175046020084,2.5299732726134065,-0.9356716175874075,0.005335507739558452,,,,
Modality-NoVision-Swin,0.38363584876060486,0.00032100082273857795,0.4859926203886668,0.0005646094591824917,0.6193833947181702,0.00025916336019230277,0.12023733307917912,0.007129918781536605,0.4626460274060567,0.027945891583223977,0.16140000522136688,0.0,0.03882116482034326,0.002102809313705296,0.0,0.0,0.18748471908669295,0.003048899647331841,3.3290260000000003,0.0,10.274063097106085,0.6008029057782247,-0.9278077582518259,0.02165443339410341,,,,
Modality-NoVision-Tinycnn,0.38414086898167926,0.0008069600408332028,0.48651979366938275,0.0009862389822383702,0.6197907527287801,0.0006507789840417867,0.12734248489141464,0.010942715087130479,0.48377246658007306,0.035809185299556144,0.12053333719571431,0.07078314535648075,0.04054132163127264,0.0037491824174445167,0.0,0.0,0.19404351837683906,0.011380038915410316,3.3290260000000003,0.0,12.630592861440448,1.7302132131360892,-0.9253337979316711,0.013896918329816791,,,,
Modality-StateOnly-Convnext,0.8626412749290466,4.062239112095658e-05,0.7190340161323547,0.0011332205534830986,0.9287848273913065,2.18668909145377e-05,0.42999152342478436,0.00418030608025803,1.7174378633499146,0.014866141933149193,0.8374000191688538,0.0,0.08817999282280604,0.00035235303301507024,0.002258601210390528,2.168758135415464e-05,0.17340429903290003,0.006176104862353069,3.181058,0.0,5.060951705773672,0.8684952516730193,,,,,,
Modality-StateOnly-Mobilenet,0.8626482486724854,4.132975065834489e-05,0.7188461422920227,0.0017136126921256658,0.9287885824839274,2.223631406501897e-05,0.42968401312828064,0.006351436891182905,1.7149816354115803,0.022350422674778925,0.8374000191688538,0.0,0.0882382174928983,0.0005297344834182089,0.0022624883179863295,3.254652162227709e-05,0.17061330533029798,0.014592527195294407,3.181058,0.0,4.805175047450596,0.690285755478303,,,,,,
Modality-StateOnly-Resnet,0.8627128402392069,4.967954474474488e-05,0.7188828984896342,0.0022593161109790314,0.9288233518600464,2.6741104250858567e-05,0.4291130503018697,0.007261800777364247,1.7149025599161785,0.028833121223298192,0.8374000191688538,0.0,0.08824008897542952,0.0006833982269055734,0.002262177566687266,4.271068075668211e-05,0.1771131676626605,0.007514746379673532,3.181058,0.0,5.041918142636617,0.8002445840168049,,,,,,
Modality-StateOnly-Simclr,0.8627826372782389,0.0001133988405347092,0.7169596155484518,0.0018532877311957052,0.9288609425226847,6.105568070085497e-05,0.4228871564070384,0.005651041795728733,1.68950359026591,0.024782639991309623,0.8374000191688538,0.0,0.08884208735624949,0.0005873864976379808,0.002299937807644407,3.7204509798826985e-05,0.1840057691731738,0.00334384442832117,3.181058,0.0,5.203187865681119,0.7541216900221754,,,,,,
Modality-StateOnly-Swin,0.862744410832723,0.00012091457551770686,0.7198397119839987,0.0023848871170636496,0.9288403789202372,6.508260431230403e-05,0.4319753249486287,0.007562105012499582,1.7270098129908245,0.030034438717555224,0.8374000191688538,0.0,0.08795312140782674,0.0007118720884050904,0.002244094309086601,4.449399612657491e-05,0.18261105221442434,0.004609992476818932,3.181058,0.0,5.740758739577399,1.3265681371973648,,,,,,
Modality-StateOnly-Tinycnn,0.863007108370463,0.0002527098981822607,0.7193367679913839,0.004764222919104153,0.9289817611376444,0.0001359888602724747,0.4299381673336029,0.015335553802333432,1.718479077021281,0.06333863779705137,0.8374000191688538,0.0,0.08815532801946004,0.0015012611763846567,0.002256823005154729,9.431230317866712e-05,0.17857903928269636,0.0027694187409963347,3.181058,0.0,6.37494558095932,1.6059510582745675,,,,,,
